Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
Uniciencia,UNICIENCIA,1011-0275,2215-3470,MULTIDISCIPLINARY SCIENCES - ESCI,103,0.8,N/A,0.24,99.17%
Quantum Studies-Mathematics and Foundations,QUANTUM STUD-MATH FD,2196-5609,2196-5617,"PHYSICS, MULTIDISCIPLINARY - ESCI",183,0.8,N/A,0.22,18.28%
Sains Malaysiana,SAINS MALAYS,0126-6039,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,"2,887",0.8,Q4,0.21,99.48%
Advances in Electrical and Computer Engineering,ADV ELECTR COMPUT EN,1582-7445,1844-7600,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",506,0.8,Q4,0.18,78.57%
DOKLADY PHYSICS,DOKL PHYS,1028-3358,1562-6903,"PHYSICS, MULTIDISCIPLINARY - SCIE",787,0.8,Q4,0.18,1.16%
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,1806-2563,1807-8664,MULTIDISCIPLINARY SCIENCES - SCIE,582,0.8,Q4,0.17,91.01%
Neural Network World,NEURAL NETW WORLD,1210-0552,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",389,0.8,Q4,0.17,0%
AI COMMUNICATIONS,AI COMMUN,0921-7126,1875-8452,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",534,0.8,Q4,0.16,3.70%
International Journal of Semantic Computing,INT J SEMANT COMPUT,1793-351X,1793-7108,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",219,0.8,N/A,0.13,1.27%
CHELONIAN CONSERVATION AND BIOLOGY,CHELONIAN CONSERV BI,1071-8443,1943-3956,ZOOLOGY - SCIE,961,0.7,Q4,0.48,3.03%
Maejo International Journal of Science and Technology,MAEJO INT J SCI TECH,1905-7873,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,313,0.7,Q4,0.44,1.37%
ZOOLOGY IN THE MIDDLE EAST,ZOOL MIDDLE EAST,0939-7140,2326-2680,ZOOLOGY - SCIE,612,0.7,Q4,0.44,1.55%
CURRENT HERPETOLOGY,CURR HERPETOL,1345-5834,1881-1019,ZOOLOGY - SCIE,215,0.7,Q4,0.42,0%
Journal of Computer Science & Technology,J COMPUT SCI TECHNOL,1666-6046,1666-6038,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",131,0.7,N/A,0.41,65.85%
RUSSIAN JOURNAL OF HERPETOLOGY,RUSS J HERPETOL,1026-2296,1026-2296,ZOOLOGY - SCIE,475,0.7,Q4,0.39,0%
PACIFIC SCIENCE,PAC SCI,0030-8870,1534-6188,ZOOLOGY - SCIE,"1,366",0.7,Q4,0.37,5.26%
CYBIUM,CYBIUM,0399-0974,2101-0315,ZOOLOGY - SCIE,828,0.7,Q4,0.36,0%
JOURNAL OF MEDICAL PRIMATOLOGY,J MED PRIMATOL,0047-2565,1600-0684,ZOOLOGY - SCIE,834,0.7,Q4,0.34,4.19%
North-Western Journal of Zoology,NORTH-WEST J ZOOL,1584-9074,1842-6441,ZOOLOGY - SCIE,473,0.7,Q4,0.34,0%
ANNALES ZOOLOGICI FENNICI,ANN ZOOL FENN,0003-455X,1797-2450,ZOOLOGY - SCIE,"1,466",0.7,Q4,0.33,0%
Journal of Ichthyology,J ICHTHYOL+,0032-9452,1555-6425,ZOOLOGY - SCIE,"1,600",0.7,Q4,0.31,6.02%
Nauplius,NAUPLIUS,0104-6497,2358-2936,ZOOLOGY - SCIE,393,0.7,Q4,0.29,96.21%
